P	POP	n
29.1281912	Bodo	3
28.91091798	Bodo	3
28.76154264	Bodo	3
28.62574688	Bodo	3
29.18250951	Bodo	3
29.45410103	Bodo	3
28.92449756	Bodo	3
28.54426942	Bodo	3
28.63932645	Bodo	3
29.23682781	Bodo	3
29.30472569	Bodo	3
29.00597501	Bodo	3
29.1281912	Bodo	3
30.1059207	Bodo	3
29.39978273	Bodo	3
29.04671374	Bodo	3
28.82944052	Bodo	3
29.20966866	Bodo	3
30.06518197	Bodo	3
29.6442151	Bodo	3
30.01086366	Bodo	3
28.88375883	Bodo	3
28.85659967	Bodo	3
29.359044	Bodo	3
29.65779468	Bodo	3
28.91091798	Bodo	3
28.57142857	Bodo	3
28.99239544	Bodo	3
28.88375883	Bodo	3
28.80228137	Bodo	3
29.8750679	Bodo	3
30.03802281	Bodo	3
29.68495383	Bodo	3
29.78001086	Bodo	3
28.93807713	Bodo	3
28.58500815	Bodo	3
28.96523628	Bodo	3
28.06898425	Bodo	3
28.68006518	Bodo	3
29.34546442	Bodo	3
28.78870179	Bodo	3
28.99239544	Bodo	3
28.99239544	Bodo	3
29.359044	Bodo	3
29.39978273	Bodo	3
29.79359044	Bodo	3
29.37262357	Bodo	3
29.45410103	Bodo	3
28.62574688	Bodo	3
29.84790875	Bodo	3
29.4133623	Bodo	3
29.54915807	Bodo	3
28.29983705	Bodo	3
29.00597501	Bodo	3
29.86148832	Bodo	3
28.85659967	Bodo	3
38.15860945	Bodo	6
37.01792504	Bodo	6
36.23030961	Bodo	6
36.08093427	Bodo	6
36.43400326	Bodo	6
37.30309614	Bodo	6
37.30309614	Bodo	6
36.88212928	Bodo	6
37.01792504	Bodo	6
36.14883216	Bodo	6
35.65996741	Bodo	6
36.92286801	Bodo	6
36.61053775	Bodo	6
37.94133623	Bodo	6
36.65127648	Bodo	6
36.21673004	Bodo	6
36.55621945	Bodo	6
36.73275394	Bodo	6
36.16241173	Bodo	6
37.24877784	Bodo	6
37.1537208	Bodo	6
36.8142314	Bodo	6
36.54263987	Bodo	6
37.23519826	Bodo	6
37.31667572	Bodo	6
37.73764259	Bodo	6
35.80934275	Bodo	6
36.8685497	Bodo	6
37.3845736	Bodo	6
37.07224335	Bodo	6
36.8142314	Bodo	6
37.30309614	Bodo	6
36.23030961	Bodo	6
36.74633351	Bodo	6
36.89570885	Bodo	6
37.77838131	Bodo	6
36.78707224	Bodo	6
37.04508419	Bodo	6
36.27104834	Bodo	6
37.23519826	Bodo	6
35.48343292	Bodo	6
36.85497012	Bodo	6
37.11298207	Bodo	6
36.74633351	Bodo	6
37.3845736	Bodo	6
37.49321021	Bodo	6
36.66485606	Bodo	6
36.47474199	Bodo	6
36.97718631	Bodo	6
37.58826725	Bodo	6
36.51548072	Bodo	6
37.6697447	Bodo	6
36.50190114	Bodo	6
36.47474199	Bodo	6
36.85497012	Bodo	6
36.99076589	Bodo	6
37.22161869	Bodo	6
36.01303639	Bodo	6
36.16241173	Bodo	6
37.42531233	Bodo	6
36.69201521	Bodo	6
36.55621945	Bodo	6
36.61053775	Bodo	6
36.84139055	Bodo	6
37.05866377	Bodo	6
37.54752852	Bodo	6
36.14883216	Bodo	6
37.27593699	Bodo	6
36.50190114	Bodo	6
36.70559479	Bodo	6
37.42531233	Bodo	6
36.93644758	Bodo	6
36.31178707	Bodo	6
36.89570885	Bodo	6
37.28951657	Bodo	6
36.85497012	Bodo	6
36.59695817	Bodo	6
36.8685497	Bodo	6
36.62411733	Bodo	6
35.64638783	Bodo	6
37.49321021	Bodo	6
37.46605106	Bodo	6
37.72406301	Bodo	6
36.85497012	Bodo	6
37.3302553	Bodo	6
37.0994025	Bodo	6
37.01792504	Bodo	6
37.3845736	Bodo	6
36.74633351	Bodo	6
36.89570885	Bodo	6
37.58826725	Bodo	6
36.42042368	Bodo	6
36.8685497	Bodo	6
37.04508419	Bodo	6
36.16241173	Bodo	6
37.83269962	Bodo	6
37.19445953	Bodo	6
37.3302553	Bodo	6
36.6376969	Bodo	6
36.59695817	Bodo	6
39.77457903	Bodo	8
39.31287344	Bodo	8
40.04617056	Bodo	8
40.11406844	Bodo	8
38.40304183	Bodo	8
39.62520369	Bodo	8
39.32645301	Bodo	8
39.2178164	Bodo	8
39.59804454	Bodo	8
39.69310158	Bodo	8
39.05486149	Bodo	8
39.14991852	Bodo	8
38.94622488	Bodo	8
40.04617056	Bodo	8
39.13633895	Bodo	8
39.53014666	Bodo	8
40.45355785	Bodo	8
39.74741988	Bodo	8
38.44378055	Bodo	8
39.3943509	Bodo	8
38.53883759	Bodo	8
39.97827268	Bodo	8
39.35361217	Bodo	8
38.91906573	Bodo	8
38.29440521	Bodo	8
39.40793047	Bodo	8
39.19065725	Bodo	8
39.20423683	Bodo	8
40.39923954	Bodo	8
38.72895166	Bodo	8
38.82400869	Bodo	8
39.00054318	Bodo	8
39.66594242	Bodo	8
39.35361217	Bodo	8
39.9646931	Bodo	8
40.38565997	Bodo	8
39.34003259	Bodo	8
38.52525801	Bodo	8
39.12275937	Bodo	8
