P	POP	n
57.54231052	BancMagaud_1	8
55.13858229	BancMagaud_1	8
56.92911455	BancMagaud_1	8
51.5084621	BancMagaud_1	8
55.43291636	BancMagaud_1	8
56.41402992	BancMagaud_1	8
55.43291636	BancMagaud_1	8
54.94235958	BancMagaud_1	8
56.63478048	BancMagaud_1	8
50.28207015	BancMagaud_1	8
56.34044641	BancMagaud_1	8
55.43291636	BancMagaud_1	8
56.04611234	BancMagaud_1	8
56.31591857	BancMagaud_1	8
57.44419917	BancMagaud_1	8
55.13858229	BancMagaud_1	8
55.13858229	BancMagaud_1	8
56.04611234	BancMagaud_1	8
56.04611234	BancMagaud_1	8
56.31591857	BancMagaud_1	8
54.94235958	BancMagaud_1	8
57.1498651	BancMagaud_1	8
57.49325484	BancMagaud_1	8
52.61221486	BancMagaud_1	8
51.68015698	BancMagaud_1	8
51.5084621	BancMagaud_1	8
56.80647535	BancMagaud_1	8
51.92543537	BancMagaud_1	8
56.34044641	BancMagaud_1	8
56.4630856	BancMagaud_1	8
57.49325484	BancMagaud_1	8
57.46872701	BancMagaud_1	8
51.77826833	BancMagaud_1	8
54.67255335	BancMagaud_1	8
56.34044641	BancMagaud_1	8
52.09713024	BancMagaud_1	8
51.7537405	BancMagaud_1	8
56.92911455	BancMagaud_1	8
51.77826833	BancMagaud_1	8
55.92347314	BancMagaud_1	8
56.92911455	BancMagaud_1	8
55.4574442	BancMagaud_1	8
56.90458671	BancMagaud_1	8
57.44419917	BancMagaud_1	8
57.68947756	BancMagaud_1	8
54.67255335	BancMagaud_1	8
57.44419917	BancMagaud_1	8
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
58.96492519	BancMagaud_1	10
